ID,Company,TypeName,Inches,Price,ram_gb,weight_kg,touchscreen,ips_panel,res_w,res_h,cpu_brand,cpu_tier,cpu_ghz,cpu_gen,ssd_gb,hdd_gb,flash_gb,gpu_brand,gpu_tier,os
15,Apple,Ultrabook,13.3,80908.344,8,1.37,0,1,2560,1600,Intel,i5,2.3,0,256,0,0,Intel,0,macOS
16,Dell,Notebook,15.6,39693.6,8,2.2,0,0,1920,1080,Intel,i7,2.7,7,256,0,0,AMD,1,Win10
17,Apple,Ultrabook,15.4,152274.24,16,1.83,0,1,2880,1800,Intel,i7,2.9,0,512,0,0,AMD,1,macOS
18,Lenovo,Notebook,15.6,26586.72,8,2.2,0,0,1920,1080,Intel,i3,2.4,7,0,1024,0,Nvidia,1,NoOS
19,Dell,Ultrabook,13.3,52161.12,8,1.22,1,1,1920,1080,Intel,i5,1.6,8,128,0,0,Intel,0,Win10
20,Asus,Netbook,11.6,10224.432,2,0.98,0,0,1366,768,Intel,Atom,1.44,0,0,0,32,Intel,0,Win10
21,Lenovo,Gaming,15.6,53226.72,8,2.5,0,1,1920,1080,Intel,i5,2.5,7,128,1024,0,Nvidia,2,Win10
22,HP,Notebook,15.6,13746.24,4,1.86,0,0,1366,768,AMD,Other,1.5,0,0,500,0,AMD,1,NoOS
23,Dell,2 in 1 Convertible,13.3,43636.32,8,1.62,1,0,1920,1080,Intel,i5,1.6,8,256,0,0,Intel,0,Win10
24,HP,Ultrabook,15.6,35111.52,8,1.91,0,0,1920,1080,Intel,i7,1.8,8,256,0,0,Intel,0,Win10
25,Dell,Notebook,15.6,22305.1392,4,2.3,0,0,1366,768,Intel,i3,,6,0,1024,0,Intel,0,Win10
26,Apple,Ultrabook,13.3,58554.72,8,1.35,0,0,1440,900,Intel,i5,1.6,0,0,0,128,Intel,0,macOS
27,Dell,Notebook,15.6,42624.0,8,2.2,0,0,1920,1080,Intel,i5,1.6,8,256,0,0,AMD,1,Win10
28,Dell,Ultrabook,15.6,69157.44,8,1.88,0,0,1920,1080,Intel,i7,1.9,8,512,0,0,Intel,0,Win10
29,HP,Notebook,17.3,47738.88,8,2.5,0,0,1920,1080,Intel,i5,1.6,8,0,1024,0,Nvidia,1,Win10
30,Chuwi,Notebook,15.6,13053.0672,4,1.89,0,0,1920,1080,Intel,Atom,1.44,0,0,0,64,Intel,0,Win10
31,Asus,Notebook,14.0,10602.72,2,1.65,0,0,1366,768,AMD,Other,1.5,0,0,0,32,AMD,1,Win10
32,HP,Notebook,17.3,23389.92,4,2.71,0,0,1920,1080,AMD,Other,2.5,0,0,500,0,AMD,1,Win10
33,Dell,Ultrabook,13.3,99580.32,16,1.2,1,0,3200,1800,Intel,i7,1.8,8,512,0,0,Intel,0,Win10
34,Apple,Ultrabook,13.3,53173.44,8,1.35,0,0,1440,900,Intel,i5,1.6,0,0,0,256,Intel,0,macOS
35,Lenovo,Notebook,14.0,13266.72,4,1.44,0,0,1366,768,Intel,Celeron,1.1,0,0,0,64,Intel,0,Win10
36,Acer,Notebook,15.6,19553.76,4,2.1,0,0,1366,768,Intel,i3,2.7,7,0,1024,0,Intel,0,Linux
37,Dell,Notebook,17.3,52161.12,8,2.8,0,1,1920,1080,Intel,i5,1.6,8,128,1024,0,AMD,1,Win10
38,HP,Notebook,15.6,26037.4032,4,1.86,0,0,1366,768,Intel,i5,2.5,7,0,1024,0,Intel,0,Win10
39,HP,Notebook,15.6,46833.12,8,2.1,0,0,1920,1080,Intel,i5,1.6,8,256,0,0,Nvidia,1,Win10
40,Asus,Notebook,15.6,20725.92,4,2.0,0,0,1920,1080,Intel,i3,,6,0,1024,0,Intel,0,Linux
41,Dell,Gaming,15.6,79866.72,16,2.65,0,1,1920,1080,Intel,i7,2.8,7,256,1024,0,Nvidia,2,Win10
42,Asus,Notebook,15.6,27864.9072,8,2.3,0,0,1366,768,Intel,i5,2.5,7,0,1024,0,Nvidia,1,Linux
43,Acer,Notebook,15.6,36336.96,4,2.2,0,1,1920,1080,Intel,i5,1.6,8,256,0,0,Intel,0,Win10
44,Dell,2 in 1 Convertible,17.3,53226.72,12,2.77,1,0,1920,1080,Intel,i5,1.6,8,0,1024,0,Nvidia,1,Win10
45,Apple,Ultrabook,13.3,75604.31999999999,8,1.37,0,1,2560,1600,Intel,i5,2.0,0,256,0,0,Intel,0,macOS
46,Lenovo,Notebook,15.6,19660.32,4,2.2,0,0,1366,768,Intel,i3,,6,128,0,0,Intel,0,NoOS
47,Asus,Gaming,17.3,69210.72,8,3.2,0,0,1920,1080,AMD,Ryzen,,0,256,1024,0,AMD,2,Win10
48,Dell,Notebook,15.6,34045.92,4,2.3,0,0,1920,1080,Intel,i5,2.5,7,256,0,0,AMD,1,Win10
49,Asus,Notebook,17.3,24828.48,4,2.8,0,0,1366,768,Intel,Pentium,1.1,0,0,1024,0,Nvidia,1,Win10
50,Lenovo,2 in 1 Convertible,10.1,16996.32,4,0.69,1,1,1920,1200,Intel,Atom,1.44,0,0,0,64,Intel,0,NoOS
51,Acer,Notebook,15.6,44808.48,8,2.2,0,1,1920,1080,Intel,i7,1.8,8,256,0,0,Nvidia,2,Win10
52,HP,Notebook,15.6,21231.5472,4,1.86,0,0,1920,1080,AMD,Other,2.5,0,256,0,0,AMD,1,Win10
53,HP,Notebook,13.3,58767.84,8,1.49,0,0,1920,1080,Intel,i7,1.8,8,512,0,0,Intel,0,Win10
54,Acer,Notebook,15.6,20459.52,4,2.4,0,0,1366,768,Intel,i3,2.4,7,0,1024,0,Intel,0,Win10
55,Dell,Notebook,15.6,40908.384,8,2.13,0,0,1920,1080,Intel,i7,1.8,8,256,0,0,AMD,1,Win10
56,HP,Notebook,15.6,23389.92,4,1.91,0,0,1920,1080,Intel,i3,,6,128,0,0,Intel,0,Win10
57,Asus,Notebook,15.6,31232.203200000004,4,2.0,0,0,1366,768,Intel,i5,2.5,7,256,0,0,Intel,0,Win10
58,MSI,Gaming,17.3,130482.72,16,2.43,0,0,1920,1080,Intel,i7,2.8,7,256,2048,0,Nvidia,3,Win10
59,Asus,Notebook,15.6,22111.2,4,2.0,0,0,1920,1080,Intel,i3,,6,256,0,0,Intel,0,Linux
60,Dell,Notebook,17.3,69210.72,16,2.8,0,0,1920,1080,Intel,i7,1.8,8,256,2048,0,AMD,1,Win10
61,Dell,Ultrabook,14.0,46833.12,8,1.7,0,0,1920,1080,Intel,i5,1.6,8,256,0,0,Intel,0,Win10
62,Lenovo,Notebook,14.0,31914.72,8,1.7,0,1,1920,1080,Intel,i3,2.7,7,256,0,0,Intel,0,NoOS
63,Asus,Notebook,14.0,50136.48,8,1.4,0,0,1920,1080,Intel,i5,1.6,8,256,0,0,Intel,0,Win10
64,HP,Notebook,15.6,36763.2,8,1.86,0,0,1920,1080,Intel,i5,2.5,7,256,0,0,Intel,0,Win10
65,Asus,Ultrabook,15.6,105654.24,16,1.8,0,0,1920,1080,Intel,i7,2.8,7,512,0,0,Nvidia,2,Win10
66,HP,Notebook,15.6,23373.4032,4,1.86,0,0,1366,768,Intel,i3,,6,0,500,0,AMD,1,Win10
67,HP,Notebook,14.0,12201.12,4,1.44,0,0,1366,768,Intel,Celeron,1.6,0,32,0,0,Intel,0,Win10
68,Lenovo,Notebook,15.6,29250.72,4,1.9,0,0,1920,1080,Intel,i5,2.5,7,0,1024,0,Intel,0,Win10
69,Asus,Gaming,17.3,50562.72,12,3.0,0,0,1920,1080,Intel,i7,2.8,7,0,1024,0,Nvidia,2,Linux
70,Microsoft,Ultrabook,13.5,58021.92,4,1.252,1,0,2256,1504,Intel,i5,2.5,7,128,0,0,Intel,0,Win10
71,Dell,Ultrabook,13.3,50882.4,8,1.4,0,1,1920,1080,Intel,i7,1.8,8,256,0,0,AMD,1,Win10
72,Dell,Notebook,15.6,46353.6,8,2.2,0,0,1920,1080,Intel,i7,1.8,8,256,0,0,AMD,1,Win10
73,MSI,Gaming,17.3,58341.6,8,2.7,0,0,1920,1080,Intel,i5,2.5,7,128,1024,0,Nvidia,2,Win10
74,Acer,Notebook,14.0,20725.92,8,2.1,0,0,1366,768,Intel,i3,,6,0,1024,0,Intel,0,Win10
75,Asus,Gaming,15.6,50562.72,8,2.2,0,0,1920,1080,Intel,i7,2.8,7,0,1024,0,Nvidia,2,Win10
76,Lenovo,Notebook,15.6,27652.32,8,2.2,0,0,1920,1080,Intel,i5,2.5,7,0,2048,0,Intel,0,NoOS
77,Dell,Notebook,15.6,45554.4,8,2.02,0,0,1920,1080,Intel,i7,1.8,8,128,1024,0,Intel,0,Win10
78,Acer,Notebook,15.6,28238.4,4,2.2,0,0,1920,1080,Intel,i3,2.7,7,0,1024,0,Nvidia,2,Win10
79,HP,Notebook,17.3,52054.56,8,2.5,0,0,1920,1080,Intel,i5,1.6,8,128,1024,0,Nvidia,1,Win10
80,Dell,Ultrabook,15.6,58403.4048,8,1.88,0,1,1920,1080,Intel,i5,1.6,8,256,0,0,Intel,0,Win10
81,Apple,Ultrabook,12.0,80452.8,8,0.92,0,1,2304,1440,Intel,i5,1.3,0,512,0,0,Intel,0,macOS
82,HP,Notebook,14.0,45820.8,8,1.63,0,0,1920,1080,Intel,i5,1.6,8,256,0,0,Intel,0,Win10
83,Lenovo,Notebook,15.6,21258.72,4,2.2,0,0,1920,1080,AMD,Other,2.5,0,128,0,0,AMD,1,Win10
84,Acer,Notebook,15.6,21045.6,4,2.1,0,0,1366,768,AMD,Other,,0,0,1024,0,AMD,1,Win10
85,Dell,Gaming,15.6,71874.72,16,2.65,0,1,1920,1080,Intel,i7,2.8,7,128,1024,0,Nvidia,2,Win10
86,HP,Ultrabook,15.6,37242.72,8,1.83,0,1,1920,1080,Intel,i7,1.8,8,256,0,0,Nvidia,1,Win10
87,HP,Notebook,15.6,31914.1872,8,1.96,0,0,1920,1080,Intel,i5,2.5,7,256,0,0,Intel,0,Win10
88,Asus,Gaming,15.6,77202.72,16,2.2,0,1,1920,1080,Intel,i7,2.8,7,128,1024,0,Nvidia,2,Win10
89,Dell,Ultrabook,13.3,87858.72,8,1.21,0,1,1920,1080,Intel,i7,1.8,8,256,0,0,Intel,0,Win10
90,Asus,Gaming,15.6,37242.72,8,2.45,0,0,1920,1080,AMD,Other,,9,0,1024,0,AMD,2,Win10
91,Acer,Notebook,15.6,36709.92,8,2.2,0,0,1920,1080,Intel,i7,1.8,8,0,1024,0,Nvidia,2,Win10
92,HP,Notebook,13.3,63776.16,16,1.49,0,0,1920,1080,Intel,i7,1.8,8,512,0,0,Intel,0,Win10
93,Dell,Gaming,15.6,63669.6,8,2.65,0,0,1920,1080,Intel,i5,2.5,7,256,0,0,Nvidia,2,Win10
94,Asus,Ultrabook,14.0,55890.72,8,1.25,0,0,1920,1080,Intel,i7,2.7,7,256,0,0,Intel,0,Win10
95,Acer,2 in 1 Convertible,13.3,45128.16,8,1.5,1,1,1920,1080,Intel,i5,1.6,8,256,0,0,Intel,0,Win10
96,Dell,Notebook,15.6,31962.672,8,2.2,0,0,1920,1080,Intel,i7,2.7,7,0,1024,0,AMD,1,Linux
97,Dell,Notebook,15.6,25840.8,4,2.2,0,0,1920,1080,Intel,i3,,6,256,0,0,AMD,1,Linux
98,Asus,Notebook,15.6,30742.56,6,2.0,0,0,1920,1080,Intel,i3,2.4,7,256,0,0,Nvidia,1,Win10
99,HP,Gaming,15.6,66546.72,12,2.62,0,1,1920,1080,Intel,i7,2.8,7,128,1024,0,Nvidia,2,Win10
100,HP,Notebook,15.6,38308.32,8,1.91,0,0,1920,1080,Intel,i7,2.7,7,256,0,0,AMD,1,Win10
101,HP,Notebook,15.6,18594.72,4,2.1,0,0,1920,1080,AMD,Other,1.5,0,0,500,0,AMD,1,Win10
102,Dell,Notebook,15.6,34472.16,8,2.2,0,0,1920,1080,Intel,i5,1.6,8,0,1024,0,AMD,1,Linux
103,HP,Ultrabook,13.3,59620.32,8,1.38,0,1,1920,1080,Intel,i7,2.7,7,256,0,0,Nvidia,2,Win10
104,Microsoft,Ultrabook,13.5,71395.2,8,1.252,1,0,2256,1504,Intel,i5,2.5,7,256,0,0,Intel,0,Win10
105,HP,Notebook,14.0,35111.52,6,1.58,0,1,1920,1080,Intel,i5,2.5,7,256,0,0,Nvidia,1,Win10
106,Lenovo,Notebook,15.6,22105.872,4,1.85,0,0,1920,1080,Intel,i3,,6,0,1024,0,Intel,0,Win10
107,Asus,Ultrabook,14.0,63563.04,8,1.3,0,1,1920,1080,Intel,i7,2.7,7,256,0,0,Nvidia,1,Win10
108,MSI,Gaming,15.6,69210.72,16,2.2,0,0,1920,1080,Intel,i7,2.8,7,256,1024,0,Nvidia,2,Win10
109,Lenovo,Notebook,14.0,78854.4,8,1.58,0,1,1920,1080,Intel,i7,2.7,7,256,0,0,Intel,0,Win10
110,Asus,Ultrabook,15.6,67239.36,16,1.5,0,0,1920,1080,Intel,i7,1.8,8,256,1024,0,Nvidia,2,Win10
111,Dell,Ultrabook,13.3,73473.12,8,1.23,1,0,3200,1800,Intel,i7,2.4,7,256,0,0,Intel,0,Win10
112,Lenovo,2 in 1 Convertible,13.3,74538.72,8,1.37,1,1,1920,1080,Intel,i5,2.5,7,256,0,0,Intel,0,Win10
113,HP,Notebook,14.0,38468.16,4,1.63,0,1,1366,768,Intel,i5,1.6,8,0,500,0,Intel,0,Win10
114,Dell,Ultrabook,13.3,86793.12,8,1.21,0,1,1920,1080,Intel,i5,1.6,8,256,0,0,Intel,0,Win10
115,HP,2 in 1 Convertible,13.3,74538.1872,8,1.26,1,1,1920,1080,Intel,i5,1.6,8,256,0,0,Intel,0,Win10
116,HP,Notebook,14.0,57755.52,8,1.63,0,0,1920,1080,Intel,i7,1.8,8,512,0,0,Intel,0,Win10
117,Dell,Notebook,15.6,60223.98239999999,8,2.16,0,1,1920,1080,Intel,i7,1.8,8,256,1024,0,Nvidia,1,Win10
118,Asus,Notebook,17.3,30049.92,4,2.0,0,0,1920,1080,Intel,i3,,6,0,1024,0,Nvidia,1,Win10
119,Asus,Notebook,15.6,59567.04,8,1.7,0,0,1920,1080,Intel,i7,1.8,8,256,0,0,Nvidia,1,Win10
120,Acer,Notebook,15.6,25521.12,6,2.1,1,1,1920,1080,Intel,i3,2.4,7,0,1024,0,Intel,0,Win10
121,MSI,Gaming,15.6,119427.12,16,1.8,0,0,1920,1080,Intel,i7,2.8,7,256,2048,0,Nvidia,3,Win10
122,Lenovo,Notebook,15.6,33513.119999999995,8,2.2,0,0,1920,1080,Intel,i5,2.5,7,256,0,0,Nvidia,1,NoOS
123,HP,Notebook,17.3,67718.88,16,2.5,0,0,1920,1080,Intel,i7,1.8,8,512,0,0,Nvidia,1,Win10
124,Acer,Notebook,15.6,24029.28,4,2.1,0,0,1366,768,AMD,Other,,0,256,0,0,AMD,1,Win10
125,HP,Notebook,15.6,13799.52,4,1.86,0,0,1366,768,Intel,Celeron,1.6,0,0,500,0,Intel,0,NoOS
126,HP,Notebook,14.0,43263.36,8,1.63,0,0,1920,1080,Intel,i5,1.6,8,0,1024,0,Intel,0,Win10
127,Asus,Notebook,14.0,14811.3072,4,1.65,0,0,1366,768,AMD,Other,1.5,0,64,0,0,AMD,1,Win10
128,Dell,Notebook,17.3,74378.87999999999,16,2.8,0,0,1920,1080,Intel,i7,1.8,8,256,2048,0,AMD,1,Win10
129,HP,Notebook,17.3,49443.84,8,2.5,0,0,1920,1080,Intel,i5,1.6,8,256,0,0,Intel,0,Win10
130,Dell,Notebook,15.6,34045.3872,8,2.36,0,0,1366,768,Intel,i5,2.5,7,0,1024,0,AMD,1,Win10
131,Dell,Notebook,15.6,23922.72,4,2.2,0,0,1920,1080,Intel,i3,,6,0,1024,0,AMD,1,Win10
132,Acer,Ultrabook,14.0,47099.52,8,1.6,0,1,1920,1080,Intel,i7,1.8,8,256,0,0,Intel,0,Win10
133,Acer,Notebook,15.6,30476.16,4,2.2,0,0,1920,1080,Intel,i3,2.7,7,256,0,0,Nvidia,2,Win10
134,HP,Notebook,15.6,31861.44,8,2.05,0,0,1366,768,Intel,i7,2.7,7,0,1024,0,Intel,0,Win10
135,HP,Notebook,14.0,52640.64,8,1.63,0,0,1920,1080,Intel,i7,1.8,8,256,0,0,Intel,0,Win10
136,Lenovo,Notebook,15.6,13445.7408,4,1.9,0,0,1366,768,Intel,Celeron,1.1,0,0,1024,0,Intel,0,NoOS
137,Asus,Gaming,17.3,49976.64,8,3.0,0,0,1920,1080,Intel,i5,2.5,7,128,1024,0,Nvidia,2,Win10
138,Lenovo,Notebook,15.6,26586.72,4,2.2,0,0,1920,1080,Intel,i5,2.5,7,0,1024,0,Nvidia,1,NoOS
139,HP,Notebook,13.3,37242.72,4,1.32,0,1,1920,1080,Intel,i5,2.5,7,256,0,0,Intel,0,Win10
140,Acer,Notebook,17.3,34898.4,4,3.0,0,1,1920,1080,Intel,i3,2.7,7,0,1024,0,Nvidia,2,Win10
141,Lenovo,Notebook,14.0,59461.5456,8,1.75,0,1,1920,1080,Intel,i5,1.6,8,256,0,0,AMD,2,Win10
142,Lenovo,Gaming,15.6,46300.32,8,2.4,0,1,1920,1080,Intel,i7,2.8,7,256,0,0,Nvidia,2,NoOS
143,Toshiba,Notebook,15.6,32074.56,4,2.1,0,0,1366,768,Intel,i5,2.3,6,0,500,0,Intel,0,Win10
144,HP,Notebook,15.6,19660.32,4,1.86,0,0,1366,768,AMD,Other,2.5,0,256,0,0,AMD,1,Win10
145,Asus,Ultrabook,14.0,58554.72,8,1.25,0,0,1920,1080,Intel,i7,1.8,8,256,0,0,Intel,0,Win10
146,HP,Ultrabook,12.5,107305.92,8,0.97,1,1,3840,2160,Intel,Other,1.2,0,512,0,0,Intel,0,Win10
147,Asus,Notebook,15.6,18328.32,4,2.0,0,0,1920,1080,Intel,Celeron,1.1,0,0,1024,0,Intel,0,Win10
148,MSI,Gaming,17.3,108105.12,16,2.9,0,0,1920,1080,Intel,i7,2.8,7,256,1024,0,Nvidia,3,Win10
149,Acer,Notebook,15.6,23816.16,4,2.1,0,0,1366,768,Intel,i3,,6,0,1024,0,Intel,0,Win10
150,Dell,Gaming,15.6,66560.5728,16,2.56,0,0,1920,1080,Intel,i7,2.8,7,512,0,0,Nvidia,2,Win10
151,Dell,Gaming,15.6,47898.72,8,2.62,0,0,1920,1080,Intel,i7,2.8,7,0,1024,0,Nvidia,2,Win10
152,Lenovo,Notebook,15.6,26533.44,4,1.9,0,0,1366,768,Intel,i5,2.5,7,128,0,0,Intel,0,Win10
153,MSI,Gaming,17.3,100699.2,16,2.8,0,0,1920,1080,Intel,i7,2.8,7,256,1024,0,Nvidia,2,Win10
154,HP,Ultrabook,14.0,57648.96,4,1.48,0,0,1920,1080,Intel,i5,2.7,7,256,0,0,Intel,0,Win10
155,HP,Notebook,15.6,32980.32,6,1.91,0,0,1920,1080,Intel,i5,1.6,8,256,0,0,AMD,1,Win10
156,Lenovo,2 in 1 Convertible,14.0,33513.119999999995,4,1.74,1,1,1920,1080,Intel,i3,2.4,7,256,0,0,Intel,0,Win10
157,Asus,2 in 1 Convertible,13.3,70063.2,8,1.1,1,0,1920,1080,Intel,i5,1.6,8,256,0,0,Intel,0,Win10
158,Dell,2 in 1 Convertible,15.6,55890.72,8,1.56,1,0,1920,1080,Intel,i7,1.8,8,256,0,0,Intel,0,Win10
159,Toshiba,Notebook,15.6,23816.16,4,2.1,0,0,1366,768,Intel,i3,2.2,6,0,500,0,Intel,0,Win10
160,Asus,Notebook,15.6,21471.84,4,2.03,0,0,1366,768,AMD,Other,,0,0,1024,0,AMD,1,Win10
161,Acer,Notebook,17.3,42890.4,4,3.0,0,1,1920,1080,Intel,i5,1.6,8,256,0,0,Nvidia,2,Win10
162,Dell,Notebook,15.6,38787.84,8,2.13,0,0,1920,1080,Intel,i5,1.6,8,256,0,0,AMD,1,Win10
163,Lenovo,Gaming,15.6,57489.12,16,2.5,0,1,1920,1080,Intel,i7,2.8,7,256,0,0,Nvidia,2,Win10
164,Acer,Notebook,15.6,18541.44,4,2.1,0,0,1366,768,Intel,Celeron,1.1,0,0,1024,0,Intel,0,Win10
165,MSI,Gaming,15.6,95850.72,16,2.4,0,1,1920,1080,Intel,i7,2.8,7,256,1024,0,Nvidia,2,Win10
166,Acer,Notebook,15.6,19367.8128,4,2.1,0,0,1366,768,Intel,Pentium,1.1,0,0,1024,0,Intel,0,Win10
167,Dell,Gaming,15.6,56502.9072,8,2.56,0,0,1920,1080,Intel,i7,2.8,7,128,1024,0,Nvidia,2,Win10
168,Acer,Notebook,17.3,45501.12,8,3.0,0,1,1920,1080,Intel,i5,1.6,8,256,0,0,Nvidia,2,Win10
169,HP,Notebook,13.3,40173.12,4,1.49,0,1,1920,1080,Intel,i5,1.6,8,0,500,0,Intel,0,Win10
170,Huawei,Ultrabook,13.0,71874.72,8,1.05,0,1,2160,1440,Intel,i5,2.5,7,256,0,0,Intel,0,Win10
171,HP,Notebook,17.3,37242.72,6,2.71,0,1,1920,1080,Intel,i5,2.5,7,0,2048,0,AMD,1,Win10
172,Lenovo,Notebook,15.6,16463.52,4,2.2,0,0,1366,768,AMD,Other,2.9,0,0,500,0,AMD,1,NoOS
173,Toshiba,Notebook,15.6,26053.92,4,2.0,0,0,1366,768,Intel,i3,2.4,7,0,500,0,Intel,0,Win10
174,HP,Notebook,17.3,49177.44,8,2.5,0,0,1920,1080,Intel,i5,1.6,8,256,0,0,Nvidia,1,Win10
175,Dell,Notebook,15.6,24455.52,8,2.3,0,0,1366,768,Intel,i3,2.4,7,0,1024,0,Intel,0,Win10
176,Acer,Notebook,15.6,23922.72,4,2.1,0,0,1366,768,Intel,i3,,6,128,0,0,Intel,0,Win10
177,MSI,Gaming,18.4,149130.72,32,4.4,0,0,1920,1080,Intel,i7,2.9,6,512,1024,0,Nvidia,1,Win10
178,Lenovo,Notebook,15.6,43316.64,8,1.9,0,0,1920,1080,Intel,i5,2.5,7,128,1024,0,AMD,1,Win10
179,HP,2 in 1 Convertible,13.3,79866.72,8,1.29,1,1,3840,2160,Intel,i5,1.6,8,256,0,0,Intel,0,Win10
180,Dell,Notebook,15.6,55890.72,16,2.02,0,0,1920,1080,Intel,i7,1.8,8,256,2048,0,AMD,1,Linux
181,Dell,Ultrabook,13.3,74538.72,8,1.23,0,0,1920,1080,Intel,i5,1.6,8,256,0,0,Intel,0,Win10
182,Lenovo,2 in 1 Convertible,13.9,98514.72,16,1.4,1,1,3840,2160,Intel,i7,1.8,8,512,0,0,Intel,0,Win10
183,Toshiba,Notebook,15.6,42251.04,8,2.0,0,0,1366,768,Intel,i5,2.5,7,128,0,0,Intel,0,Win10
184,Xiaomi,Notebook,15.6,63882.72,8,1.95,0,1,1920,1080,Intel,i5,1.6,8,256,0,0,Nvidia,2,NoOS
185,Dell,Notebook,17.3,82530.72,16,2.77,1,0,1920,1080,Intel,i7,1.8,8,512,0,0,Nvidia,1,Win10
186,Dell,Notebook,15.6,127712.16,16,2.06,1,0,3840,2160,Intel,i7,2.8,7,512,0,0,Nvidia,2,Win10
187,Lenovo,Gaming,15.6,41505.12,8,2.4,0,1,1920,1080,Intel,i5,2.5,7,256,0,0,Nvidia,2,NoOS
188,Acer,Ultrabook,13.3,52693.92,8,1.12,0,1,1920,1080,Intel,i5,1.2,0,256,0,0,Intel,0,Win10
189,Dell,Notebook,17.3,57808.8,8,2.8,0,0,1920,1080,Intel,i7,1.8,8,128,1024,0,AMD,1,Win10
190,Lenovo,2 in 1 Convertible,14.0,150462.72,16,1.42,1,0,2560,1440,Intel,i7,2.7,7,1024,0,0,Intel,0,Win10
191,Vero,Notebook,14.0,13852.8,4,1.3,0,1,1920,1080,Intel,Celeron,1.1,0,0,0,32,Intel,0,Win10
192,Xiaomi,Ultrabook,13.3,53274.67199999999,8,1.3,0,1,1920,1080,Intel,i5,2.5,7,256,0,0,Nvidia,2,NoOS
193,Lenovo,Notebook,17.3,37189.44,8,2.8,0,0,1600,900,Intel,i5,1.6,8,256,0,0,Nvidia,2,NoOS
194,Dell,2 in 1 Convertible,13.3,44701.92,8,1.62,1,1,1920,1080,Intel,i7,1.8,8,0,1024,0,Intel,0,Win10
195,HP,Notebook,17.3,48697.92,8,2.5,0,1,1920,1080,Intel,i5,1.6,8,0,1024,0,Nvidia,1,Win10
196,Razer,Gaming,17.3,324954.72,32,3.49,1,0,3840,2160,Intel,i7,2.9,7,1024,0,0,Nvidia,3,Win10
197,HP,Notebook,13.3,51095.52,8,1.49,0,0,1920,1080,Intel,i5,1.6,8,512,0,0,Intel,0,Win10
198,HP,Gaming,17.3,73473.12,16,3.35,0,1,1920,1080,Intel,i7,2.8,7,256,1024,0,Nvidia,2,Win10
199,HP,Notebook,17.3,55677.6,8,2.5,0,0,1920,1080,Intel,i7,1.8,8,256,0,0,Nvidia,1,Win10
200,Dell,Gaming,15.6,98301.6,16,2.65,0,1,3840,2160,Intel,i7,2.8,7,512,1024,0,Nvidia,2,Win10
201,Lenovo,Notebook,15.6,26267.04,4,2.1,0,0,1366,768,Intel,i5,2.3,6,128,0,0,Intel,0,Win10
202,Acer,Notebook,15.6,39533.76,8,2.23,0,0,1920,1080,Intel,i7,2.7,7,0,1024,0,Nvidia,1,Win10
203,Lenovo,Gaming,15.6,93186.72,16,3.2,0,1,1920,1080,Intel,i7,2.8,7,512,1024,0,Nvidia,2,Win10
204,Dell,Workstation,15.6,162770.4,16,2.8,0,0,3840,2160,Intel,Xeon,,1,256,1024,0,Nvidia,3,Win10
